"Country","Total Citations","Average Article Citations"
"USA","15833","41.56"
"CHINA","2987","16.88"
"CANADA","2309","36.08"
"KOREA","1672","92.89"
"GERMANY","1384","19.22"
"UNITED KINGDOM","1255","15.89"
"ITALY","860","16.23"
"SOUTH AFRICA","791","65.92"
"SPAIN","767","26.45"
"INDIA","759","12.65"
"JAPAN","677","11.28"
"IRAN","588","15.47"
"FRANCE","519","19.22"
"AUSTRALIA","490","16.90"
"BELGIUM","352","29.33"
"ISRAEL","335","22.33"
"NETHERLANDS","327","17.21"
"POLAND","271","9.34"
"TAIWAN","267","14.83"
"NEW ZEALAND","255","42.50"
"SWEDEN","207","18.82"
"ALGERIA","198","24.75"
"GREECE","186","16.91"
"TURKEY","182","16.55"
"BRAZIL","180","9.00"
"HUNGARY","176","14.67"
"BANGLADESH","168","42.00"
"SWITZERLAND","163","18.11"
"FINLAND","98","16.33"
"DENMARK","94","15.67"
"ROMANIA","65","13.00"
"THAILAND","58","58.00"
"SINGAPORE","49","9.80"
"NORWAY","47","11.75"
"CZECH REPUBLIC","41","10.25"
"AUSTRIA","39","4.88"
"MALAYSIA","38","5.43"
"JORDAN","37","4.11"
"KUWAIT","34","8.50"
"LUXEMBOURG","32","16.00"
"EGYPT","31","5.17"
"UKRAINE","26","6.50"
"LATVIA","24","12.00"
"IRELAND","23","5.75"
"PORTUGAL","23","4.60"
"MEXICO","21","4.20"
"PAKISTAN","20","10.00"
"SERBIA","19","9.50"
"SLOVAKIA","18","6.00"
"CHILE","15","15.00"
"HONG KONG","11","3.67"
"IRAQ","9","9.00"
"INDONESIA","7","2.33"
"ARGENTINA","3","3.00"
"COLOMBIA","3","3.00"
"CYPRUS","3","3.00"
"PARAGUAY","3","3.00"
"LITHUANIA","2","2.00"
"ARMENIA","1","1.00"
"SAUDI ARABIA","1","1.00"
"TUNISIA","1","1.00"
