"Paper","Total Citations","TC per Year"
"SHOR PW, 1997, SIAM J COMPUT","3391","141.2917"
"PHILIP CHEN CL, 2014, INF SCI","1378","196.8571"
"BENNETT CH, 1992, J CRYPTOLOGY","1290","44.4828"
"HAN KH, 2002, IEEE TRANS EVOL COMPUT","1100","57.8947"
"KENDALL RA, 2000, COMPUT PHYS COMMUN","663","31.5714"
"BENNETT CH, 1997, SIAM J COMPUT","627","26.1250"
"WEIDEMAN JAC, 2000, ACM TRANS MATH SOFTWARE","532","25.3333"
"HAN KH, 2004, IEEE TRANS EVOL COMPUT","445","26.1765"
"BLANCO MA, 2005, J CHEM THEORY COMPUT","375","23.4375"
"BENNETT CH, 2014, THEOR COMPUT SCI","319","45.5714"
"AKTULGA HM, 2012, PARALLEL COMPUT","315","35.0000"
"UFIMTSEV IS, 2008, J CHEM THEORY COMPUT","308","23.6923"
"LO HK, 2005, J CRYPTOL","305","19.0625"
"HAMEROFF S, 1996, J CONSCIOUS STUD","299","11.9600"
"GONZE X, 2016, COMPUT PHYS COMMUN","280","56.0000"
"GUPTA P, 2006, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","280","18.6667"
"BEALS R, 2001, J ACM","268","13.4000"
"ZHANG R, 2004, IEEE TRANS NANOTECHNOL","255","15.0000"
"STONE JE, 2010, J MOL GRAPH MODEL","237","21.5455"
"SHEA P, 2009, COMPUT EDUC","216","18.0000"
"HEY T, 1999, COMPUT CONTROL ENG J","213","9.6818"
"ROWE MA, 2002, QUANTUM INF COMPUT","212","11.1579"
"PONC S, 2016, COMPUT PHYS COMMUN","211","42.2000"
"SELINGER P, 2004, MATH STRUCT COMPUT SCI","199","11.7059"
"WHEATON S, 2009, COMPUT PHYS COMMUN","193","16.0833"
"SHENDE VV, 2006, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","192","12.8000"
"GAO CW, 2016, COMPUT PHYS COMMUN","181","36.2000"
"KOZA JR, 2010, GENET PROGRAM EVOLVABLE MACH","181","16.4545"
"HUNG WNN, 2006, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","180","12.0000"
"LI BB, 2007, IEEE TRANS SYST MAN CYBERN PART B CYBERN","175","12.5000"
"MASLOV D, 2005, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","171","10.6875"
"PAWLAK R, 2016, NPJ QUANTUM INF","159","31.8000"
"VAN DAM W, 2001, ANNU SYMP FOUND COMPUT SCI PROC","156","7.8000"
"SELINGER P, 2007, ELECTRON NOTES THEOR COMPUT SCI","154","11.0000"
"KAK S, 1995, INF SCI","149","5.7308"
"ZHANG G, 2011, J HEURISTICS","145","14.5000"
"RIEFFEL E, 2000, ACM COMPUT SURV","143","6.8095"
"SUN J, 2012, INF SCI","140","15.5556"
"TAHOORI MB, 2004, IEEE TRANS NANOTECHNOL","136","8.0000"
"LAYEB A, 2011, INT J BIO-INSPIRED COMPUT","135","13.5000"
"MASLOV D, 2004, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","132","7.7647"
